,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,geometry,index_right
539,ATG151,เหนือปตร.บางระจัน,14.9259632,100.275808,เชิงกลัด,บางระจัน,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (637215.868999987 1650530.7586098562),0
540,ATG122,ท้ายปตร.ท่าโบสถ์,15.0535104,100.011744,สามง่ามท่าโบสถ์,หันคา,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (608747.8620619591 1664493.8849028286),0
541,ATG021,เหนือ ปตร.มโนรมย์,15.3304752,100.10336,วัดโคก,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (618441.6372171843 1695180.0910115791),0
542,ATG112,ท้ายปตร.มหาราช,15.161408,100.17264,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (625980.1373872042 1676515.7668603421),0
543,ATG152,ท้ายปตร.บางระจัน,14.9251696,100.2758784,เชิงกลัด,บางระจัน,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (637223.9453913776 1650443.0079350865),0
544,ATG011,ปตร.พลเทพ,15.215888,100.0728384,หาดท่าเสา,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (615227.4510008603 1682487.5513700119),0
545,ATG111,เหนือปตร.มหาราช,15.1589104,100.17328,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (626050.382674494 1676239.8352171215),0
546,ATG032,ท้ายปตร.บรมธาตุ,15.1578304,100.1528256,ชัยนาท,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (623853.2494923966 1676108.6920500484),0
547,ATG031,เหนือปตร.บรมธาตุ,15.1581552,100.1534784,ชัยนาท,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (623923.2017986156 1676144.9923764253),0
550,PIN006,เมืองกำแพงเพชร (P7A),16.4781504,99.5186304,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,W,POINT (555355.8362265683 1821897.9586264377),0
552,PAS002,เมืองเพชรบูรณ์,16.4479424,101.1701632,สะเดียง,เมืองเพชรบูรณ์,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,W,POINT (731711.6527902146 1819728.2310832187),0
553,NAN010,น้ำปาด,17.790888,100.748992,บ้านฝาย,น้ำปาด,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (685393.4590794514 1967915.2186035218),0
554,DIV003,คลองผันน้ำยม-น่าน3,17.2924928,100.077664,คอรุม,พิชัย,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (614536.2180296185 1912232.722585519),0
555,YOM010,เมืองแพร่,18.1337264,100.1245696,ป่าแมต,เมืองแพร่,แพร่,แม่น้ำยม,ภาคเหนือ,W,POINT (618966.0281562911 2005344.014757957),0
556,CPY001,สะพานเดชาติวงศ์,15.6884816,100.1238336,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,W,POINT (620431.891270536 1734796.8534132366),0
557,KWN001,นครไทย,17.1069856,100.8458816,นครไทย,นครไทย,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (696398.0776996018 1892321.2188768492),0
558,NAN013,วังทอง,16.8222416,100.4315712,วังทอง,วังทอง,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (652537.2950590304 1860442.2608475601),0
559,PAS003,หนองไผ่,16.1149728,101.0970752,นาเฉลียง,หนองไผ่,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,W,POINT (724283.2686747545 1782792.7246946176),0
560,DIV005,ท่อทองแดง1,16.4971312,99.5196224,หนองปลิง,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,W,POINT (555456.3148468187 1823997.950393203),0
561,YOM012,เมืองสุโขทัย,17.0213024,99.8196864,ธานี,เมืองสุโขทัย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,W,POINT (587242.6930585412 1882094.3032797584),0
562,NAN012,เมืองพิษณุโลก,16.8647568,100.244768,ปากโทก,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (632600.5331569586 1865011.7819470016),0
563,PAS001,หล่มสัก,16.7814944,101.2467136,หล่มสัก,หล่มสัก,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,W,POINT (739474.3487829103 1856739.2235523101),0
567,WAN005,เมืองลำปาง,18.3429888,99.5371136,ต้นธงชัย,เมืองลำปาง,ลำปาง,แม่น้ำวัง,ภาคเหนือ,W,POINT (556749.9838923117 2028216.87815619),0
568,KWN002,วัดโบสถ์,16.99888,100.3265152,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (641209.9397196311 1879909.091885393),0
574,PAS004,วิเชียรบุรี,15.6558832,101.100768,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,W,POINT (725188.5243988468 1731986.1206672997),0
575,CHM002,ฮอด,18.1786064,98.6301824,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,W,POINT (460889.52199950285 2009985.4215104776),0
577,NAN014,ตรอน,17.4183984,100.1307456,หาดสองแคว,ตรอน,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (620096.4034621568 1926196.0894141083),0
580,DIV002,คลองผันน้ำยม-น่าน2,16.953872,100.121248,ท่าช้าง,พรหมพิราม,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,W,POINT (619384.7912461034 1874792.8029910873),0
581,DIV004,คลองผันน้ำยม-น่าน4,16.6716608,100.2457856,งิ้วงาม,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,W,POINT (632842.9902319517 1843647.4672678905),0
594,CPY005,สรรพยา,15.1090144,100.2678464,โพนางดำออก,สรรพยา,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (636243.3293364123 1670776.488340926),0
596,THA003,ด่านช้าง,14.8350352,99.665408,ด่านช้าง,ด่านช้าง,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (571592.2858406225 1640186.729599544),0
598,THA004,สามชุก,14.7513792,100.0958656,สามชุก,สามชุก,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (617955.0600214766 1631114.9789913413),0
608,LBI002,เมืองลพบุรี,14.7604784,100.5996096,โพธิ์เก้าต้น,เมืองลพบุรี,ลพบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (672179.5065539675 1632446.5935798152),0
609,NAN011,เมืองอุตรดิตถ์,17.6101104,100.0994112,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (616645.5282926385 1947389.137583944),0
610,CPY003,ปตร.มโนรมย์,15.3276944,100.1091264,วัดโคก,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (619062.2803247181 1694875.6238488075),0
611,THA001,สะพานคง-ศุข ศรีสวัสดิ์,15.2250384,100.0782784,หาดท่าเสา,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (615806.7882100887 1683502.6807796287),0
612,CPY004,สะพานธรรมจักร(วัดธรรมามูล),15.2503264,100.0834752,ธรรมามูล,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (616351.0754344935 1686302.9041405614),0
632,CPY007,พรหมบุรี,14.7909008,100.4518272,พรหมบุรี,พรหมบุรี,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (656247.5470104108 1635704.358361071),0
633,CPY006,อินทร์บุรี,15.0060096,100.3309312,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (643092.2660269965 1659421.052285949),0
634,THA002,สรรคบุรี (แม่น้ำน้อย),15.0640832,100.16288,เที่ยงแท้,สรรคบุรี,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (624988.4466810144 1665743.5857138254),0
645,KON001,วังสะพุง,17.3123136,101.7725952,วังสะพุง,วังสะพุง,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,W,POINT (794726.1340544599 1916228.4957238575),0
651,KON002,เมืองเลย,17.5093296,101.7366336,ชัยพฤกษ์,เมืองเลย,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,W,POINT (790588.9648523282 1937990.069373269),0
656,KON003,สุวรรณคูหา,17.5756624,102.27328,นาสี,สุวรรณคูหา,หนองบัวลำภู,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,W,POINT (847492.9488139907 1946239.1488769145),0
680,DIV001,คลองผันน้ำยม-น่าน1,17.3662048,99.84368,ในเมือง,สวรรคโลก,สุโขทัย,แม่น้ำยม,ภาคเหนือ,W,POINT (589630.4761502021 1920264.1466665745),0
682,YOM011,งาว,18.7608016,99.9726656,หลวงใต้,งาว,ลำปาง,แม่น้ำยม,ภาคเหนือ,W,POINT (602522.2723559359 2074640.9146931923),0
683,SKG002,เมืองอุทัยธานี,15.3708384,100.044192,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,W,POINT (612067.9992681813 1699613.7432278097),0
684,NAN009,เวียงสา,18.5499488,100.7615552,ส้าน,เวียงสา,น่าน,แม่น้ำน่าน,ภาคเหนือ,W,POINT (685919.7621675513 2051940.9182204902),0
690,CPY002,พยุหะคีรี,15.4265632,100.134688,ท่าน้ำอ้อย,พยุหะคีรี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,W,POINT (621749.123332335 1705827.3794352864),0
705,WEI011,เหนือฝายยางกะฮาด,15.6391504,102.0393472,กะฮาด,เนินสง่า,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,W,POINT (825893.2625692688 1731352.621655241),0
706,WEI012,ท้ายฝายยางกะฮาด,15.638408,102.040032,กะฮาด,เนินสง่า,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,W,POINT (825967.9264821627 1731271.4566885296),0
